,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14
045_Gabrieli_2,8.519274000000001,25.091746,15.301633000000002,23.694421999999996,17.438050000000004,12.047119999999993,23.587619000000004,27.780543999999992,13.99142900000001,14.318230999999997,8.884354000000002,9.09129200000001,20.768571999999978,19.522857000000016
046_Tokyo_2,9.239274,27.831746000000003,19.721632999999997,29.754421999999998,16.498050000000006,14.527119999999996,23.72761899999999,37.33673400000001,11.655238999999995,12.818230999999997,8.604354,8.751292000000007,23.048572000000007,23.34285700000001
047_Skampa_2,9.719274,29.851746,14.641632999999999,24.894422000000006,15.798050000000003,12.187119999999993,19.307619000000003,30.036733999999996,11.955239000000006,13.198230999999993,8.144353999999993,8.545986,21.973878000000013,23.542856999999998
048_Vlach_2,8.799273999999999,25.151745999999996,13.881633,26.394422000000006,19.609932,16.515237999999997,24.14761899999999,31.056734000000006,15.195239000000015,15.058230999999978,9.964354000000014,10.231291999999996,20.10857200000001,21.742857000000015
049_Smetana_2,9.439274,23.431745999999997,13.681633000000005,25.134421999999994,22.298050000000003,16.427120000000002,24.207619000000008,28.556733999999977,16.435239000000024,17.518230999999986,10.904354000000012,11.011291999999997,20.188571999999994,18.36285700000002
050_NewZealand_2,9.48009,24.321134,14.932244999999995,25.154421999999997,17.678050000000013,14.12711999999999,23.847618999999995,33.97673400000002,13.575238999999982,14.238231000000013,8.704353999999995,8.971292000000005,20.82857199999998,23.322857
051_Vanbrugh_2,9.339274000000001,28.671746000000002,15.241633,25.901088,17.45138399999999,13.307120000000012,24.667618999999988,33.776734000000005,12.695239000000015,13.668570999999986,8.354014000000006,8.751292000000007,21.668571999999983,22.622856999999982
052_DITTO_2,9.50009,26.791746,15.341633000000002,26.294422000000004,17.65804999999999,13.127120000000005,24.187619000000012,33.19673399999999,14.53523899999999,13.638231000000019,8.490339999999975,8.625306000000023,24.248571999999996,28.82285699999997
053_Janacek_2,9.459274,24.471746000000003,15.981632999999995,25.334422000000004,15.798050000000003,12.62711999999999,24.407618999999997,30.45673400000001,12.03523899999999,12.818230999999997,9.110340000000008,9.185305999999997,23.84857199999999,24.802857000000017
054_Arianna_2,8.539682,25.503583,18.849795999999998,29.454422000000008,16.03805,13.50712,25.067618999999993,34.996734000000004,13.595238999999992,12.798231000000015,7.964353999999986,8.371292000000011,22.56857199999999,24.38285700000003
055_Janacek_2,9.119274,23.471746,15.841633000000002,25.734422000000002,15.418049999999994,11.747119999999995,23.207619000000008,31.516733999999985,12.495239000000026,12.778230999999977,8.644354000000021,8.791291999999999,23.428572000000003,23.222856999999976
056_Meccore_2,8.70009,24.251745999999997,20.781633,31.074422,18.498050000000006,15.027119999999996,21.467619000000013,41.33673399999998,14.975239000000016,14.318230999999997,8.904353999999984,9.131292000000002,22.32857200000001,23.06285699999998
057_PavelHaas_2,10.640089999999999,32.351746,16.921633,28.434421999999998,17.278050000000007,13.827119999999994,23.607619000000014,33.536733999999996,13.215238999999997,13.978230999999994,8.944354000000004,9.491291999999987,25.431837,25.159592000000032
058_Arete_2,9.239274,29.134195,19.499184,28.834422000000004,18.018050000000002,13.207119999999989,22.147619000000006,39.776734000000005,14.995238999999998,14.078230999999988,7.944354000000004,8.171291999999994,22.688572000000022,27.08979500000001
