,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15
040_Zaide_3,53.090477,27.686394000000007,10.685963999999998,17.128140000000002,66.338005,19.558503,25.390884999999997,14.104579999999999,5.202359000000001,6.403129000000007,31.125850000000014,12.585668999999996,15.229432999999972,30.095011999999997,2.5832190000000423
041_Hermes_3,50.857959,25.28000000000001,10.913854999999998,13.768140000000002,57.92362899999999,20.81287900000001,24.49088499999999,17.224580000000003,4.802358999999996,7.223129,29.52584999999999,12.325669000000005,16.949433,28.61501199999998,2.8432190000000332
042_Medici_3,50.888980000000004,23.947891000000006,8.805963999999989,14.248140000000006,57.263628999999995,17.792879,20.590885000000014,14.484579999999994,4.682358999999991,6.643129000000016,31.501768,11.009750999999966,15.329433000000051,25.339591999999982,2.1786389999999756
043_Juilliard_3,49.790477,25.926393999999995,9.745964,15.168140000000008,61.78362899999999,19.892878999999994,26.090885000000014,15.924579999999992,4.882359000000008,6.443128999999999,29.145850000000024,12.845668999999987,14.92943299999996,29.59959200000003,2.4186389999999847
045_Janacek_3,50.610476999999996,25.346394000000004,14.199819000000005,19.114284999999995,76.083629,20.33287899999999,25.170885,14.124580000000009,4.642358999999999,5.783129000000002,32.66584999999998,13.285669000000041,15.369432999999958,30.815012000000024,2.623219000000006
046_Gabrieli_3,53.570477,25.606394,9.905963999999997,17.088139999999996,70.363629,21.412879000000004,26.070885000000004,16.64457999999999,4.922359,6.803129000000013,28.56585000000001,11.585668999999996,18.349432999999976,33.215012,2.1432189999999878
047_Merel_3,50.670477000000005,25.526393999999996,9.972109000000003,16.241995000000003,65.743629,21.632879000000003,25.910885000000007,15.544579999999996,5.282358999999985,7.0231290000000115,28.145849999999996,12.42566899999997,17.409433000000035,26.77959199999998,2.1200000000000045
048_Wihan_3,63.650476999999995,32.006394,10.965964,18.688140000000004,78.10362900000001,19.512878999999998,22.650884999999988,14.944579999999974,4.6823590000000195,6.74312900000001,36.30585000000002,13.045668999999975,20.329432999999995,31.975011999999992,3.443218999999999
049_Skampa_3,51.38898,25.827891,9.605964,15.388140000000007,63.863629,21.632879000000003,25.250884999999982,13.724580000000003,4.122358999999989,6.043129000000022,29.98585,12.405668999999989,17.889432999999997,28.775012000000004,2.4245799999999917
050_NewZealand_3,54.770477,26.02639400000001,9.512108999999995,14.441994999999991,63.26362900000001,19.512878999999998,24.130885000000006,14.16458,4.682358999999991,6.263673000000011,31.48530600000001,14.345668999999987,15.349432999999976,27.255012000000022,2.623219000000006
