,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16,motif17,motif18,motif19
033_Cypress_1,33.216734,19.681632999999998,21.071700999999997,18.506620999999996,27.161905000000004,159.26641700000002,16.40256199999999,16.702223000000004,20.58979599999998,12.145826999999997,12.01662200000004,21.269863999999984,18.67349200000001,17.802266999999972,19.520182000000034,16.866984000000002,22.535894999999982,30.408934999999985,28.00802699999997
035_Jupiter_1,33.008571,20.181632999999998,21.251700999999997,20.526621000000006,30.401905,174.186417,17.382562000000007,17.402222999999992,21.309796000000006,12.405826999999988,12.916622000000018,23.549863000000016,18.773492999999974,17.30226700000003,19.720180999999968,16.446984999999984,26.195895000000007,34.56893500000007,28.568026999999915
038_Takacs_1,34.396734,20.261632999999996,21.971700999999996,18.50662100000001,28.181905,165.40641699999998,17.822562000000005,18.702223000000004,21.869796000000008,13.145826999999997,12.69662199999999,21.209862999999984,19.57349300000004,18.04226699999998,19.640180999999984,17.226985000000013,23.55589500000002,31.16893499999992,28.108027000000106
039_Jerusalem_1,33.288571,19.781633,21.55170100000001,22.654195,32.05433099999999,177.38641700000002,17.582561999999996,18.662222999999983,21.42979600000001,12.605826999999977,12.51662200000004,22.189862999999946,18.653493000000026,17.142267000000004,19.36018200000001,16.946983999999986,26.53845799999999,35.40637200000003,32.06802700000003
040_Keller_1,35.456734,19.021633,20.611701000000004,19.126621,29.641904999999994,166.64641699999999,17.04315200000002,17.181632999999977,21.509795999999994,12.565827000000013,12.356622000000016,21.049864000000014,18.373492,16.702267000000006,18.64018199999998,16.82698399999998,23.99589500000002,31.74893499999996,28.188503000000082
041_Matangi_1,32.868570999999996,19.221633000000004,21.371701,19.85809499999999,27.01043100000001,170.28641700000003,17.562561999999957,17.982223000000033,22.109796000000017,12.865826999999967,12.856622000000016,22.44986399999999,18.873492,17.240769999999998,19.441679000000022,16.706983999999977,24.395894999999996,31.48893499999997,26.06802700000003
042_Melos_1,36.708571,21.281633,23.231701,22.566620999999998,31.081905000000006,190.24641699999998,18.74256200000002,18.442223000000013,22.40979599999997,12.945827000000008,13.716621999999973,22.76986400000004,20.15349199999997,17.962266999999997,19.980181000000016,17.926985000000002,26.095894999999985,35.08893499999999,32.48802699999999
043_Tang_1,34.028571,20.461633,22.631701000000007,19.306620999999993,25.401905,167.486417,17.74256200000002,17.38222300000001,21.969795999999974,12.74582700000002,13.056622000000004,22.28986299999997,19.23349300000001,17.462266999999997,19.600182000000018,17.466983999999968,24.09589500000004,31.488935000000026,27.148026999999956
044_Jade_1,35.336734,20.981632999999995,22.771701000000007,21.46662099999999,32.94190499999999,190.286417,18.342561999999987,19.36222300000003,23.269795999999985,13.185827000000018,13.516621999999984,23.709862999999984,20.053493000000003,18.30226700000003,20.540182000000016,18.32698399999998,26.615895000000023,35.88893499999995,32.688027000000034
047_Miro_1,33.296734,19.461633,21.391701000000005,22.226620999999994,32.661905000000004,181.22641699999997,17.48256200000003,18.88222300000001,22.269795999999985,13.065827000000013,12.016621999999984,23.029862999999978,19.093493000000024,17.102266999999983,19.740181000000007,17.12698499999999,26.635895000000062,34.74893499999996,30.408026999999947
049_Serafin_1,32.748571,18.981633000000002,21.891701000000005,18.666620999999992,28.14190500000001,166.046417,17.46256199999999,18.742223000000024,22.38979599999999,13.305827000000022,12.976621999999963,22.349864000000025,18.793492000000015,17.302266999999972,19.720182000000023,17.546983999999952,24.215895000000046,34.54893499999997,28.428027000000043
052_Masin_1,34.556734,21.021633,22.311701,22.999773000000005,32.639184,189.335986,18.18256200000002,18.942223000000013,23.689796,13.745826999999963,14.076621999999986,24.289864000000023,20.073491999999987,17.56226700000002,20.280181999999968,18.086983999999973,26.675895000000082,39.22893499999998,33.80802700000004
053_Hagen_1,33.776734,19.641633000000006,22.471700999999996,20.386621000000005,28.921904999999995,172.44641700000003,17.642561999999998,19.06222299999996,21.309796000000006,12.585826999999995,12.556622000000004,22.42986300000001,18.653493000000026,17.562266999999963,18.980182000000013,17.806984,24.695895000000007,32.228935000000035,30.168026999999938
054_Cavani_1,34.756734,21.401633000000004,23.051700999999994,22.22662100000001,32.581905000000006,191.18641699999998,18.662562000000037,19.60548799999998,23.186531000000002,13.985826999999972,14.056622000000004,24.64986300000004,20.393492999999978,18.422266999999977,20.920181000000014,18.48698500000006,26.835894999999937,34.948935000000006,28.74802699999998
056_Skampa_1,33.188571,19.381633,21.491700999999992,20.526621000000006,29.841904999999997,170.946417,17.24256200000002,17.942223000000013,20.86979599999995,13.045827000000031,12.576621999999986,23.289863000000025,19.073492999999985,17.502267000000018,19.120182,17.306984,24.955894999999998,34.108934999999974,30.90802700000006
057_Stamic_1,33.808571,20.101633,22.391701000000005,21.266621,28.881905000000003,172.986417,17.922562000000028,17.622222999999963,21.66979600000002,13.185827000000018,12.956621999999982,23.189864,19.933492,17.942267000000015,20.08018199999998,17.54698400000001,26.055894999999964,32.56893500000007,27.968027000000006
058_Schidlof_1,35.408571,21.521633,23.191701000000002,22.186621000000002,35.72190500000001,193.426417,19.142561999999998,19.742223000000024,23.709795999999983,13.42582699999997,13.196622000000048,22.80986299999995,20.053493000000003,18.442267000000015,20.86018200000001,18.60698400000001,26.99589500000002,38.16893499999992,32.188027000000034
059_Cleveland_1,31.208571,18.701633,20.831701000000002,19.306620999999993,27.441905000000006,165.18641699999998,17.122562000000016,18.762223000000006,20.829795999999988,12.905826999999988,12.296622000000013,21.86986300000001,18.413493000000017,16.82226700000001,19.520181999999977,16.406984000000023,24.075894999999946,31.648934999999994,27.64802700000007
060_NewYork_1,33.256734,19.421633,21.611701000000004,19.946620999999993,28.461905,172.62641699999998,17.48256200000003,17.682223000000022,21.069795999999997,12.565826999999956,12.436622,21.92986300000001,19.333493000000033,17.162266999999986,19.32018099999999,17.046985000000006,25.05589500000002,33.12893500000001,26.42802699999993
062_Kallaci_1,35.476734,19.261632999999996,21.131701000000007,19.806620999999993,27.161905000000004,168.266417,17.722561999999982,18.742223000000024,21.58979599999998,12.645826999999997,12.456622000000038,22.009862999999996,19.673493000000008,16.962266999999997,19.500181999999995,17.166983999999957,24.635895000000005,30.408934999999985,26.208027000000016
065_Lindsay_1,35.448571,20.621633000000003,21.391700999999998,20.486621,28.861905000000007,176.706417,18.262562000000003,18.84548799999999,22.346531000000027,12.805826999999965,13.036622000000023,23.629863999999998,20.353492000000017,18.477277999999956,21.065170000000023,17.286985000000016,25.575894999999946,33.36893500000008,30.12850299999991
067_Bowman_1,32.876734000000006,20.341632999999995,22.571700999999997,21.486621,31.601905000000016,184.88641699999997,18.262562000000003,19.902222999999992,22.70979600000004,13.025826999999992,13.316621999999995,24.309864000000005,19.613492000000008,19.174284999999998,21.008163999999965,18.58698400000003,26.255894999999953,35.508935000000065,28.24802699999998
069_NewRussian_1,34.416734,20.241633,21.911701,20.326621000000003,23.861904999999993,166.426417,17.28256200000004,17.942222999999956,21.829796000000044,12.785826999999983,12.89662199999998,22.629863,19.23349300000001,17.522267,19.96018200000003,17.666983999999957,25.395894999999996,31.408935000000042,27.50802699999997
070_Australian_1,31.908571,19.001632999999998,21.391700999999998,19.14662100000001,33.88190499999999,178.186417,17.96256199999999,18.522222999999997,21.269796000000042,12.825827000000004,12.65662199999997,22.40986300000003,18.91349299999996,17.122267000000022,19.02018099999998,16.966985000000022,24.015895,35.228935000000035,25.42802699999993
072_Orion_1,33.636734000000004,20.561633,22.231701,21.38662099999999,32.541905,182.94641700000003,18.40256199999999,18.303855,21.508164000000022,13.025826999999992,12.856621999999959,23.20986300000004,19.41349299999996,17.382267000000013,19.96018200000003,17.76698399999998,25.815895000000012,35.24893499999996,29.348027000000002
074_Vogler_1,33.656734,20.621633000000003,21.71170099999999,20.22662100000001,29.901905,177.126417,18.322562000000005,20.12222300000002,23.809796000000006,13.825827000000004,13.576621999999986,23.249864000000002,19.473491999999965,18.65977300000003,21.322676,18.02698399999997,25.77589499999999,33.46893499999999,29.168027000000052
076_Panocha_1,33.656734,19.961633,21.971700999999996,21.36662100000001,30.78190499999998,175.24641700000004,17.562561999999957,18.142223,22.689796,11.885827000000006,11.876621999999998,22.069862999999998,19.653493000000026,17.022267,19.000181999999995,17.34698400000002,25.955894999999998,36.648934999999994,32.28802699999994
077_Carmina_1,32.656734,19.021633,20.731700999999994,19.86662100000001,29.841904999999997,167.02641700000004,17.40256199999999,18.10222299999998,21.489796000000013,12.365826999999967,12.436622,21.10986300000002,18.77349300000003,16.722266999999988,18.740182000000004,16.60698400000001,24.495894999999962,32.28893500000004,26.448027000000025
078_Borromeo_1,32.385306,20.353060999999997,22.531701000000005,21.646620999999996,29.501904999999994,178.16641700000002,17.44256200000001,19.082223,22.169795999999963,12.945827000000008,12.956621999999982,24.269863000000043,19.393492999999978,18.701768000000015,20.640679999999975,17.926985000000002,27.035894999999982,34.66893500000003,29.688027000000034
