,motif1,motif2,motif3,motif4,motif5,motif6,motif7,motif8,motif9,motif10,motif11,motif12,motif13,motif14,motif15,motif16
023_Moyzes_4,17.723537999999998,16.214420999999998,13.535238000000007,26.365715,9.226484999999997,8.877051999999992,17.984082,28.850612000000012,27.293559999999985,25.041405999999995,11.803809000000001,37.827347,24.782448999999986,20.649796000000038,14.365714999999966,35.71346900000003
024_Vlach_4,17.083538,15.194012999999998,12.855646,27.505715000000002,9.066485,9.071746000000005,16.98938799999999,29.79061200000001,28.69355999999999,23.441406,11.563808999999992,39.107347000000004,21.422449,21.189796,13.80571500000002,33.73346899999996
025_Stamic_4,18.223538,16.954012999999996,14.375646000000003,27.405714999999994,9.30648500000001,9.677051999999989,18.344082,29.130612000000013,27.273560000000003,26.18140599999998,11.863809000000003,37.94734700000001,18.202449,21.189796,14.425714999999968,34.533469000000025
026_Amadeus_4,18.923538,17.714012999999998,14.755645999999999,29.285714999999996,9.926485,9.757052000000002,18.954694000000003,30.22734700000001,24.68621299999998,20.536236000000002,12.008980000000008,39.34734599999999,20.962448999999992,22.289796000000024,14.925715000000025,36.79346899999996
027_Albion_4,16.523538000000002,15.174013000000002,12.775645999999995,25.465715000000003,8.946484999999996,9.257052000000002,16.924082,27.51061200000001,21.93356,22.121406000000007,11.463808999999998,36.547347,21.802448999999996,20.66979600000002,13.525714999999991,32.713468999999975
028_Alexander_4,17.723537999999998,16.074013000000004,13.455645999999994,25.845715,8.866484999999997,9.057052000000013,16.764081999999988,27.230611999999994,20.533560000000023,18.781405999999976,11.443810000000013,36.96734599999999,19.202449,20.96979600000003,14.245714999999961,33.313469
029_Varese_4,17.363538000000002,15.634013,13.095646000000002,26.005714999999995,8.906485000000004,8.997051999999996,16.964082000000005,27.11061199999999,23.873559999999998,23.501406000000003,10.843809000000022,34.72734699999998,19.44244900000001,19.789795999999996,13.445715000000007,32.293469000000016
030_CzechPhil_4,16.683538,14.994013000000002,12.695645999999996,25.365714999999994,8.646485000000013,8.717051999999995,16.614694,27.719999999999985,25.616962,21.77800400000001,10.643810000000002,35.60734600000001,26.542449000000005,19.629796,13.085714999999993,32.813469
031_Sacconi_4,18.297824,16.034013,13.635646000000001,27.505715000000002,9.54648499999999,9.417052000000012,17.984081999999987,31.770612,26.873559999999998,24.541405999999995,12.50258500000001,37.928571000000005,21.90244900000002,21.729795999999965,14.125715000000014,34.373469
032_Lipkind_4,18.343538,16.814013000000003,14.035646,27.805715,9.506484999999998,9.797051999999994,18.22408200000001,28.297959000000006,32.50589599999998,27.60172300000002,11.963809999999995,39.29346899999999,22.576325999999995,22.509795999999994,15.04571500000003,39.55346900000001
033_Cypress_4,18.543537999999998,16.074013000000004,13.275645999999995,26.005715000000002,9.166484999999994,9.137052000000011,17.10408199999999,28.130612000000013,20.67355999999998,19.96140600000001,11.523809999999997,37.047346000000005,19.302448999999996,20.72979600000002,14.045714999999973,34.67346900000001
034_Excelsior_4,18.323538000000003,16.834013,14.155645999999997,27.685715000000002,9.606485000000006,9.45705199999999,18.284081999999998,30.090612000000007,23.19355999999999,23.081406000000015,12.023809999999997,40.327346000000006,22.58244899999997,21.72979600000002,14.789796000000024,36.74938799999995
035_Jupiter_4,16.803538,15.194013000000002,12.535646,25.625715,8.906485000000004,8.59705199999999,16.304082000000008,29.270612,23.113560000000007,19.90140599999998,10.883810000000011,36.367346,20.805306,20.266939000000008,13.72571499999998,33.19346899999999
036_ProArte_4,17.306395,16.634013,14.375646000000003,32.005714999999995,10.106485000000006,9.337052,17.864081999999996,31.55795900000001,26.306212999999985,19.481405999999993,12.04380900000001,40.80734699999999,22.48530600000001,24.466939000000025,13.785714999999982,30.67346900000001
037_Orlando_4,17.043538,15.634012999999996,12.895646000000006,25.645715000000003,8.966484999999992,8.917051999999998,16.99469400000001,27.439999999999984,22.493560000000002,20.861406000000017,10.843808999999993,36.74734699999999,21.18244900000002,19.509795999999994,13.705714999999998,33.033469000000025
038_Takacs_4,17.963538,15.874012999999998,13.595646000000002,27.205715000000005,9.306484999999995,9.297051999999994,17.694694,26.680000000000007,19.91355999999999,18.90140600000001,11.36381,37.46734599999999,20.46244900000002,21.009795999999966,13.565715000000012,33.17346900000001
039_Jerusalem_4,16.523538,14.554013000000001,12.315646000000001,24.225715,8.606484999999992,8.337052,15.984082,26.210612000000012,25.79356,22.221406,10.383808999999985,33.24734700000002,21.462448999999992,18.689796,12.50571500000001,30.83346899999998
040_Keller_4,16.983538,15.974013,13.355646,26.245715000000004,8.886484999999993,8.877052000000006,17.264082000000002,27.630612,20.63355999999999,18.661406,11.363809000000003,37.44734700000001,20.422449,19.789796000000024,13.145714999999996,30.713468999999975
041_Matangi_4,17.663538,16.013605,13.756053999999999,26.745714999999997,9.426485,9.35705200000001,17.914693999999997,27.220000000000013,22.253559999999993,21.941406,12.063808999999992,37.267347,22.22244900000001,22.20979600000001,14.68571499999996,34.41346900000002
